,Election,OfficeName,CandidateID,CanFirstName,CanLastName,Votes,PartyAbbrev,CandidateName
597,GE 2016,MASON/TAZEWELL/WOODFORD SUPERINTENDENT OF SCHOOLS,23158,PATRICK,DURLEY,76145,REP,PATRICK DURLEY
598,GE 2016,PRESIDENT AND VICE PRESIDENT,23163,TOM,HOEFLING,175,,TOM HOEFLING
599,GE 2016,PRESIDENT AND VICE PRESIDENT,23164,LAIO,MORRIS,10,,LAIO MORRIS
600,GE 2016,PRESIDENT AND VICE PRESIDENT,23165,JOSEPH A.,MALDONADO,20,,JOSEPH A. MALDONADO
601,GE 2016,PRESIDENT AND VICE PRESIDENT,23166,ROY WAYNE,TYREE,3,,ROY WAYNE TYREE
602,GE 2016,PRESIDENT AND VICE PRESIDENT,23167,JOANN,BREIVOGEL,12,,JOANN BREIVOGEL
603,GE 2016,PRESIDENT AND VICE PRESIDENT,23168,DUFF COOPER,SMITH,4,,DUFF COOPER SMITH
604,GE 2016,PRESIDENT AND VICE PRESIDENT,23169,EVAN,MCMULLIN,11655,,EVAN MCMULLIN
605,GE 2016,UNITED STATES SENATOR,23170,JIM,BROWN,106,,JIM BROWN
606,GE 2016,UNITED STATES SENATOR,23171,SUSANA,SANDOVAL,42,,SUSANA SANDOVAL
607,GE 2016,16TH CONGRESS,23172,JOHN F.,BURCHARDT,131,,JOHN F. BURCHARDT
608,GE 2016,PRESIDENT AND VICE PRESIDENT,23173,CHERUNDA,FOX,3,,CHERUNDA FOX
609,GE 2016,UNITED STATES SENATOR,23175,CHAD,KOPPIE,408,,CHAD KOPPIE
610,GE 2016,18TH CONGRESS,23176,DON,VANCE,7,,DON VANCE
611,GE 2016,PRESIDENT AND VICE PRESIDENT,23179,BEN,HARTNELL,6,,BEN HARTNELL
612,GE 2016,PRESIDENT AND VICE PRESIDENT,23180,JAMES,ANDERSON,61,,JAMES ANDERSON
613,GE 2016,PRESIDENT AND VICE PRESIDENT,23181,JONATHAN,LEE,7,,JONATHAN LEE
614,GE 2016,UNITED STATES SENATOR,23182,CHRISTOPHER,AGUAYO,77,,CHRISTOPHER AGUAYO
615,GE 2016,PRESIDENT AND VICE PRESIDENT,23183,DAVID,FORMHALS,0,,DAVID FORMHALS
616,GE 2016,PRESIDENT AND VICE PRESIDENT,23184,JIM,BROWN,0,,JIM BROWN
617,GE 2016,PRESIDENT AND VICE PRESIDENT,23185,SHELIA MARIE,BOLAR,0,,SHELIA MARIE BOLAR
618,GE 2016,PRESIDENT AND VICE PRESIDENT,23186,NATHAN,JOHNSON,1,,NATHAN JOHNSON
619,GE 2016,95TH REPRESENTATIVE,23187,JAKE,LEONARD,13,,JAKE LEONARD
620,GE 2016,47TH SENATE,23188,KURT,FOWLER,112,,KURT FOWLER
621,GE 2016,70TH REPRESENTATIVE,23189,BRIAN,SOLAR,8,,BRIAN SOLAR
622,GE 2016,PRESIDENT AND VICE PRESIDENT,23190,DAVID G.,STACK,10,,DAVID G. STACK
623,GE 2016,2ND CONGRESS,23191,JAMES,REYNOLDS,0,,JAMES REYNOLDS
624,GE 2016,UNITED STATES SENATOR,23192,ERIC KUFI JAMES,STEWART,5,,ERIC KUFI JAMES STEWART
625,GE 2016,52ND REPRESENTATIVE,23193,CHRIS,BAUMAN,11,,CHRIS BAUMAN
626,GE 2016,PRESIDENT AND VICE PRESIDENT,23194,DEM J.,WYSINGER,1,,DEM J. WYSINGER
627,GE 2016,94TH REPRESENTATIVE,23195,ROGER,DAVIS,1,,ROGER DAVIS
628,GE 2016,3RD CONGRESS,23196,DIANE,HARRIS,91,,DIANE HARRIS
629,GE 2016,5TH CONGRESS,23197,MICHAEL,KRYNSKI,3,,MICHAEL KRYNSKI
630,GE 2016,PRESIDENT AND VICE PRESIDENT,23198,KEVIN,MCKEE,24,,KEVIN MCKEE
631,GE 2016,PRESIDENT AND VICE PRESIDENT,23199,MATTHEW,ROBERTS,8,,MATTHEW ROBERTS
632,GE 2016,PRESIDENT AND VICE PRESIDENT,23200,PHILLIP,SEEBERG,27,,PHILLIP SEEBERG
633,GE 2016,UNITED STATES SENATOR,23201,PATRICIA,BEARD,1,,PATRICIA BEARD
634,GE 2016,75TH REPRESENTATIVE,23202,WILLARD H.,"HARPER, JR.",6,,"WILLARD H. HARPER, JR."
635,GE 2016,10TH CONGRESS,23203,JOSEPH WILLIAM,KOPSICK,26,,JOSEPH WILLIAM KOPSICK
636,GE 2016,PRESIDENT AND VICE PRESIDENT,23204,AUTHOR C.,BRUMFIELD,5,,AUTHOR C. BRUMFIELD
637,GE 2016,PRESIDENT AND VICE PRESIDENT,23205,JAMES T.,STRUCK,1,,JAMES T. STRUCK
638,GE 2016,PRESIDENT AND VICE PRESIDENT,23206,MARK J.,HARPER,1,,MARK J. HARPER
639,GE 2016,PRESIDENT AND VICE PRESIDENT,23207,TIMOTHY B.,MELUCH,3,,TIMOTHY B. MELUCH
640,GE 2016,43RD REPRESENTATIVE,23208,RICHARD,EVANS,231,,RICHARD EVANS
641,GE 2016,1ST CONGRESS,23209,TABITHA,CARSON,8,,TABITHA CARSON
642,GE 2016,9TH CONGRESS,23210,SUSANNE,ATANUS,13,,SUSANNE ATANUS
643,GE 2016,9TH CONGRESS,23211,DAVID,WILLIAMS,79,,DAVID WILLIAMS
644,GE 2016,10TH SENATE,23212,JONATHON,LUERS,13,,JONATHON LUERS
645,GE 2016,COOK - 1ST SUBCIRCUIT - HOPKINS VACANCY,23213,MARYAM,AHMAD,884,,MARYAM AHMAD
646,GE 2016,PRESIDENT AND VICE PRESIDENT,23217,LAURENCE,KOTLIKOFF,82,,LAURENCE KOTLIKOFF
647,GE 2016,PRESIDENT AND VICE PRESIDENT,23218,DARRELL,CASTLE,1138,,DARRELL CASTLE
648,GE 2016,PRESIDENT AND VICE PRESIDENT,23220,MARSHALL ROY,SCHOENKE,25,,MARSHALL ROY SCHOENKE
